alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence,category,source
"தூ4வ், து4வொ","dhoov, dhuvo",கழுவு,Wash,,,,,verb,corpus_sourashtradictionary
"மஞ்ஜி, மஞ்ஜுவொ","manjji, manjjuvo",துலக்கு,Wash,,,,,verb,corpus_sourashtradictionary
"மோஸ், மொஸுவொ","mOs, mosuvo",அலம்பு,Wash,,,,,verb,corpus_sourashtradictionary
"கு4ஞ்ஜி, கு4ஞ்ஜுவொ","ghunjji, ghunjjuvo",துவை,Wash (Clothes),,,,,verb,corpus_sourashtradictionary
"நிங்கி, நிங்குவொ","ningki, ningkuvo",துவை,Wash clothes,,,,,verb,corpus_sourashtradictionary
க3வுஞ்சி ஸா / ஸவொ,gavunjci saa / savo,கூர்ந்து நோக்கு,Watch,,,,,verb,corpus_sourashtradictionary
"க4ல்லெ, க4ல்லுவொ","ghalle, ghalluvo",அணிந்துகொள்,Wear,,,,,verb,corpus_sourashtradictionary
"பி2ல்லெ, பி2ல்லுவொ","phille, philluvo",அணிந்துகொள்,Wear,,,,,verb,corpus_sourashtradictionary
"தி3ஜாட், தி3ஜடு3வொ,","dijaaT, dijaDuvo,",தேய்ந்து போக வை,Wear it away,,,,,verb,corpus_sourashtradictionary
"வீன், வினுவொ","veen, vinuvo",நெய்,Weave,,,,,verb,corpus_sourashtradictionary
"ரோட், ரொடு3வொ","rOT, roDuvo",அழு,Weep,,,,,verb,corpus_sourashtradictionary
"பா4ர் தாய், பா4ர் தவொ","bhaar taay, bhaar tavo",எடை போடு,Weigh,,,,,verb,corpus_sourashtradictionary
ஜோக்3 / ஜொகு3வொ,jOg / joguvo,எடையிடு,Weigh,,,,,verb,corpus_sourashtradictionary
"பொள்ளிபோட், பொள்ளிபொடு3வொ","poLLipOT, poLLipoDuvo",புரளு,Welter,,,,,verb,corpus_sourashtradictionary
ஒல்லொ கேர் / கெருவொ,ollo kEr / keruvo,ஈரமாக்கு,Wet,,,,,verb,corpus_sourashtradictionary
"பி3வ்ஜி, பி3வ்ஜுவொ","bivji, bivjuvo",நனை,Wet,,,,,verb,corpus_sourashtradictionary
"ப2ங்கி3ட், ப2ங்கி3டு3வொ","phanggiT, phanggiDuvo",(முறத்தால்) புடை,Winnow,,,,,verb,corpus_sourashtradictionary
"போஸ், பொஸுவொ","pOs, posuvo",துடை,Wipe,,,,,verb,corpus_sourashtradictionary
ஆஸ்தொ போட் / பொடு3வொ,aasto pOT / poDuvo,ஆசைப்படு,Wish,,,,,verb,corpus_sourashtradictionary
"பாய்ஞ்போட், பாய்ஞ்பொடு3வொ","paaynjpOT, paaynjpoDuvo",வழிபடு,Worship,,,,,verb,corpus_sourashtradictionary
"ப2ங்கி3ல்லெ, ப2ங்கு3ல்லுவொ","phanggille, phanggulluvo",போர்த்திக்கொள்,Wrap up,,,,,verb,corpus_sourashtradictionary
"முவ்ரி, முவ்ருவொ","muvri, muvruvo",முறுக்கு,Wring,,,,,verb,corpus_sourashtradictionary
"லிக்கி, லிக்குவொ","likki, likkuvo",எழுது,Write,,,,,verb,corpus_sourashtradictionary
தொ4ம்ப்3ளாய் தே3 / தெ3வொ,dhombLaay dE / devo,கொட்டாவி விடு,Yawn,,,,,verb,corpus_sourashtradictionary
ஸொடி3 தே4ர் / தெ4ருவொ,soDi dhEr / dheruvo,விட்டுக்கொடு,Yield,,,,,verb,corpus_sourashtradictionary
உபகரணொ,upakaraNo,கருவி,Apparatus,ரஸஶாலாம் ஜு2கு3 உபகரணானுக் ஸவாயி,rasassaalaam jhugu upakaraNaanuk savaayi,ஆய்வகத்தில் பல கருவிகளை நாம் பார்க்கலாம்,We can see many apparatus in the laboratory,tools,corpus_sourashtradictionary
ஸாத4னொ,saadhano,கருவி,"Device, Tool",ஸங்க3ணகொ ஒண்டெ ஶக்திஹொயெ ஸாத4னொ,sanggaNako oNTe ssaktihoye saadhano,கணினி ஒரு சக்திவாய்ந்த கருவி,Computer is a powerful tool,tools,corpus_sourashtradictionary
"ஐது3, அய்து3","aidu, aydu",ஆயுதம்,Weapon,மோனொ சாகு ஒண்டெ ஆபத்3ஹொயெ அய்து3,mOno caaku oNTe aapadhoye aydu,கூர்மையான கத்தி ஒரு ஆபத்தான ஆயுதம்,Sharp knife is a dangerous weapon,tools,corpus_sourashtradictionary
அஸ்த்ரம்,astram,ஆயுதம்,Weapon,முந்த3டி3 கலமு த4னுகின் பா3ணு முக்ய அஸ்த்ரொகன் ஹொதெ3ஸ்,mundaDi kalamu dhanukin baaNu mukya astrokan hodes,பழங்காலத்தில் வில்லும் அம்பும் முக்கிய ஆயுதங்களாக இருந்தன,In ancient times the bow and arrow were the main weapons,tools,corpus_sourashtradictionary
மூர்,moor,சுத்தியல்,Hammer,பீ4தும் கீல் ஹனத்தக் மூர் பஜெ,bheetum keel hanattak moor paje,சுவற்றில் ஆணி அடிக்க சுத்தியல் தேவை,A hammer is needed to hit the nail on the wall,tools,corpus_sourashtradictionary
கீல்,keel,ஆணி,Nail,தீ3 பொல்கானுக் கீலு ஹனி ஒண்டேஸ்கன் செர்ச்சுவாயி,dee polkaanuk keelu hani oNTEskan cerccuvaayi,இரண்டு பலகைகளை ஆணி அடித்து ஒன்றாக இணைக்கலாம்,Two planks can be joined by nailing them together,tools,corpus_sourashtradictionary
த3ந்தினி,dantini,குறடு,"Pincer, Pliers",த3ந்தினி ஒண்டெ வஸ்துக் தெ4ரி உட்சத்தக் நுக3ஸு,dantini oNTe vastuk dheri uTcattak nugasu,குறடு ஒரு பொருளைப் பிடித்து இழுக்க பயன்படுகிறது,The pincer is used to pullout an object,tools,corpus_sourashtradictionary
நிப்3ரொ,nibro,குறடு,"Pincer, Pliers",கீல் உக்கத்தக் நிப்3ரொ நுக3ஸு,keel ukkattak nibro nugasu,ஆணி பிடுங்க குறடு பயன்படுத்தப்படுகிறது,The pliers is used to pull the nail,tools,corpus_sourashtradictionary
பி3க்3ரொ,bigro,திருகி முடுக்கும் கருவி,Spanner,நஹொகின் அர்க3லிக் தி4ல்லொ கெரத்தக் பி3க்3ரொ நுக3ஸு,nahokin argalik dhillo kerattak bigro nugasu,நட்டு மற்றும் போல்ட்டை தளர்த்த திருகி பயன்படுத்தப்படுகிறது,Spanners is used to loosen the nut and bolt,tools,corpus_sourashtradictionary
க2னடி,khanaTi,கடப்பாரை,Crowbar,க2னடி க2ண்டி3 கொவ்ரத்தக் ஒர்க3யி,khanaTi khaNDi kovrattak orgayi,கடப்பாரை குழி தோண்டுவதற்கு பயன்படும்,A crowbar is used to dig pit,tools,corpus_sourashtradictionary
க2ந்துடொ,khantuTo,கடப்பாரை,Crowbar,பு4ய்ஞ் கொவ்ரரியொ க2ந்துடொ லம்பொ3 ர்ஹாயி,bhuynj kovrariyo khantuTo lambo rhaayi,பூமியை தோண்டும் கடப்பாரை நீளமாக இருக்கும்,The crowbar to dig the earth is long,tools,corpus_sourashtradictionary
பி4ந்தி,bhinti,உளி,Chisel,லைடா3க் ஆகார் தே3த்தக் பி4ந்தி நுக3ஸு,laiDaak aakaar dEttak bhinti nugasu,மரத்தை வடிவமைக்க உளி பயன்படுத்தப்படுகிறது,Chisel is used for shaping wood,tools,corpus_sourashtradictionary
டங்கு,Tangku,கல் வெட்டும் உளி,Stone cutter chisel,டங்க்னார் தெ3ய்டா3க் ஆகார் தே3த்தக் டங்கு ப்ரயோக்3 கெரராஸ்,Tangknaar deyDaak aakaar dEttak Tangku prayOg keraraas,சிற்பி கல்லை வடிவமைக்க உளி பயன்படுத்துகிறார்,The sculptor uses a chisel to shape the stone,tools,corpus_sourashtradictionary
ஹனடி,hanaTi,மரச்சுத்தியல்,Mallet,தெனொ ஹனடி ஹால் பனி கெ3ட்3டொ3 பொ2ட3ரஸ்,teno hanaTi haal pani geDDo phoDaras,அவன் மரச்சுத்தியால் பனிக்கட்டியை உடைக்கிறான்,He breaks the ice with a mallet,tools,corpus_sourashtradictionary
தா2ஸு,thaasu,இழைப்புளி,Hand Planer,ஹொடை3து தாஸு ஹால் பொள்காக் சிவெஸி,hoDaitu taasu haal poLkaak civesi,தச்சர் ஒரு இழைப்புளி மூலம் பலகையை இழைத்தார்,The carpenter leveled the plank with a hand planer,tools,corpus_sourashtradictionary
லாவு,laavu,வாள்,Sword,ரஜா கலமு லாவ் க2ல்லி மல்லியாஸி,rajaa kalamu laav khalli malliyaasi,அரசர் காலத்தில் வாள் ஏந்திப் போரிட்டனர்,During the reign of King they fought with swords,tools,corpus_sourashtradictionary
கத்கொ,katko,அரிவாள்,Sickle,கத்கொ ஹால் ஹரிணுக் கடனு,katko haal hariNuk kaTanu,அரிவாளால் களை எடுப்பார்கள்,Weeds are removed with sickle,tools,corpus_sourashtradictionary
பர்ஶு,parssu,கோடாரி,Axe,பர்ஶுராம் அய்து3 பர்ஶு,parssuraam aydu parssu,பரசுராமனின் ஆயுதம் கோடாரி,Parasuraman's weapon was an ax,tools,corpus_sourashtradictionary
சகி,caki,"இயந்திரம், ஆலை","Machine, Mill",தந்து3 பீடு சகி ஹொகலும் தயி லுப்3ப3ஸுன்,tandu peeTu caki hokalum tayi lubbasun,அரிசி மாவை இயந்திர உரலில் போட்டு அரைப்பார்கள்,Rice batter is ground in the grinding machine,tools,corpus_sourashtradictionary
நேலு,nElu,இயந்திரம்,Machine,நெலுன் மெனிகு காமு ஸல்லிஸ் கெரஸு,nelun meniku kaamu sallis kerasu,மனிதர்களின் வேலையை இயந்திரங்கள் எளிதாக்குகின்றன,Machines make human work easier,tools,corpus_sourashtradictionary
நெலும்,nelum,பஞ்சுபொதி அழுத்தும் இயந்திரம்,Cotton Bale pressing machine,கபு3ஸுக் நெலுமு தொ2வி க4ந்த்ரொ கி4ந்த3னு,kabusuk nelumu thovi ghantro ghindanu,பஞ்சை இயந்திரத்தில் வைத்து அழுத்தி மூட்டை கட்டுவார்கள்,The cotton is pressed in the bale machine and packed,tools,corpus_sourashtradictionary
ர்ஹெடொ3,rheDo,தையல் இயந்திரம்,Sewing Machine,பொ3ட்டொ ஸிவத்தக் ர்ஹெடொ3 நுக3ஸு,boTTo sivattak rheDo nugasu,ஆடைகளை தைக்க தையல் இயந்திரம் பயன்படும்,A sewing machine is used to sew clothes,tools,corpus_sourashtradictionary
மால்,maal,பட்டை,Pulley Belt,மால் தி4ல்லொ ர்ஹியெத் ர்ஹெடா3 செக்குர் ஜி2ர்க்கயி,maal dhillo rhiyet rheDaa cekkur jhirkkayi,பட்டை தளர்வாக இருந்தால் தையல் இயந்திரத்தின் சக்கரம் வழுக்கும்,If the strap is loose the wheel of the sewing machine will slip,tools,corpus_sourashtradictionary
லுங்க்டொ3,lungkDo,கத்தரிக்கோல்,Scissors,டங்க்னார் ஹாதும் டங்கு ஸொகன் ஸிம்பி3 ஹாதும் ஸேத்தெ லுங்க்டொ3,Tangknaar haatum Tangku sokan simbi haatum sEtte lungkDo,சிற்பியின் கையில் உளி போல் தையல்காரரின் கையில் உள்ள கத்தரிக்கோல்,Scissors in the hands of the tailor is like a chisel in the hand of the sculptor,tools,corpus_sourashtradictionary
லுங்க்ளொ,lungkLo,கத்தரிக்கோல்,Scissors,பொ3ட்டொ குட்கொ கெரத்தக் லுங்க்ளொ நுக3ஸு,boTTo kuTko kerattak lungkLo nugasu,துணியை வெட்ட கத்தரிக்கோல் பயன்படுகிறது,Scissors are used to cut the cloth,tools,corpus_sourashtradictionary
கெத்திரிக்கெ,kettirikke,கத்தரிக்கோல்,Scissors,கெத்திரிக்கெ ஹால் நெக்கு மெல்லொ குட்கொ கெருவாயி,kettirikke haal nekku mello kuTko keruvaayi,கத்தரிக்கோலால் நகத்தை கூட வெட்ட முடியும்,Scissors can also cut the nail,tools,corpus_sourashtradictionary
ஸிவி,sivi,ஊசி,Needle,ஸிவிம் தொ3ரி பொமொத்தக் தொ3ளா ஸனி சொக்கட் ர்ஹனொ,sivim dori pomottak doLaa sani cokkaT rhano,ஊசியில் நூல் கோர்க்க கண் பார்வை நன்றாக இருக்கவேண்டும்,Eye sight should be good for threading a needle,tools,corpus_sourashtradictionary
தொ3ரி செண்டு3,dori ceNDu,நூல்கண்டு,Thread bundle,தொ3ரி செண்டு3ன் பொ4வெ வனினும் அப்3ப3ஸு,dori ceNDun bhove vaninum abbasu,நூல்கண்டுகள் நிறைய வண்ணங்களில் கிடைக்கின்றன,Thread bundles are available in a lot of colors,tools,corpus_sourashtradictionary
த3பன் ஸிவி,dapan sivi,"கோணி ஊசி, சாக்கு ஊசி",Sack sewing needle,கெச்சந்தி3கு த3பன் ஸிவிஹால் ஸிவஸுனு,keccandiku dapan sivihaal sivasunu,சாக்குப்பையை கோணி ஊசியால் தைப்பார்கள்,Sacks are sewn with sack sewing needle,tools,corpus_sourashtradictionary
ஹல்லொ,hallo,"கலப்பை, ஏர், ஏர்க்கால்",Plough,நங்கு3னாருன் ஹல்லொ ஹால் கே2துக் நங்க3னு,nanggunaarun hallo haal khEtuk nangganu,விவசாயிகள் கலப்பையால் வயலை உழுவார்கள்,Farmers plow the field with plows,tools,corpus_sourashtradictionary
ஏடி3கோல,EDikOla,"கலப்பை, ஏர், ஏர்க்கால்",Plough,நங்கு3னாருன் கொ3ருக் ஏடி3கோலாம் ஸம்டடி3கின் கே2துக் ஜுன்னஸுன்,nanggunaarun goruk EDikOlaam samTaDikin khEtuk junnasun,விவசாயிகள் ஏரில் எருகளை பூட்டி வயலை உழுவார்கள்,Farmers lock the oxen in the plow and plow the field,tools,corpus_sourashtradictionary
கூப3ரொ,koobaro,"கலப்பை, ஏர், ஏர்க்கால்",Plough,கூப3ராக் அவ்ங்கி தெ4ரி உட்சத்தவேள் அடு3க்கு ஸேத்தெ மத்தி ஹொல்லொ அவஸு,koobaraak avngki dheri uTcattavEL aDukku sEtte matti hollo avasu,ஏர்க்காலை அழுத்திப் பிடித்து இழுக்கும் போது கீழே உள்ள மண் மேலே வருகிறது,The soil below comes up when the plow is pressed and pulled,tools,corpus_sourashtradictionary
நுகொ3,nugo,நுகத்தடி,Yoke (part of bullock cart),கொ3ருனுக் நுகா3ம் ஸொவ்ண்டடி3 கொ3ரு பொ3ண்டி3 தொ3வ்ட2னு,gorunuk nugaam sovNTaDi goru boNDi dovThanu,மாடுகளை நுகத்தடியில் மாட்டி மாட்டுவண்டியை ஓட்டுவார்கள்,The bullock catrs are driven by locking the oxen under the yoke,tools,corpus_sourashtradictionary
ப4ஸ்து,bhastu,துருத்தி,Bellows,ஹுலொ ம்ஹௌஜனாத்தக் ர்ஹாத்தக் ப4ஸ்து ஹால் வர ஹனன்,hulo mhaujanaattak rhaattak bhastu haal vara hanan,நெருப்பு அணையாமல் இருக்க துருத்தியால் காற்றடிப்பார்கள்,The air is blown through the bellows to keep the fire burning,tools,corpus_sourashtradictionary
சாடொ,caaTo,சாட்டை,Whip,கொ3ரு பி3ஸ்ஸொ த4மத்தக் சாடொ ஹால் ஹனனு,goru bisso dhamattak caaTo haal hananu,மாடு வேகமாக ஓடுவதற்கு சாட்டையால் அடிப்பார்கள்,The cow is beaten with a whip to make it run faster,tools,corpus_sourashtradictionary
ஸானு,saanu,சாணைக்கல்,Grinding stone,சாகுக் ஸானும் கெ3ஸிகின் மொனொ கெரனு,caakuk saanum gesikin mono keranu,கத்தியை சாணைக்கல்லில் தேய்த்து கூராக்குவார்கள்,The knife is rubbed on the grindstone and sharpened,tools,corpus_sourashtradictionary
ஹிக்மத்,hikmat,சூழ்ச்சி,Trick,பொ3லம் ந்ஹாத்தெனொ ஹிக்மத் கெரிகின் ஜெவுஞ்சஸு,bolam nhaatteno hikmat kerikin jevunjcasu,பலம் இல்லாதவன் தந்திரம் செய்து வெல்கிறான்,He who has no strength wins by trickery,bad-attribute,corpus_sourashtradictionary
ஹுபா3வ்,hubaav,"தந்திரம், சூழ்ச்சி","Cunning, Trick",தெனொ ஹுபா3வி,teno hubaavi,அவன் தந்திரமானவன்,He is cunning,bad-attribute,corpus_sourashtradictionary
தூ4ர்தொ,dhoorto,"தந்திரம், சூழ்ச்சி","Cunning, Trick",தூ4ர்தொ ஜொவள் ர்ஹீ து3தூ3ர் ர்ஹனொ,dhoorto jovaL rhee dudoor rhano,தந்திரமான நபரிடமிருந்து விலகி இருங்கள்,Stay away from the cunning person,bad-attribute,corpus_sourashtradictionary
அடா3த்,aDaat,"அநியாயம், அடாவடி. கொடுமை","Injustice, Atrocity",இஸனி அடா3த் கோன் கெரத்தக் முஸை?,isani aDaat kOn kerattak musai?,இப்படிப்பட்ட அடாவடியை யாரால் செய்ய முடியும்?,Who could be capable of such atrocity?,bad-attribute,corpus_sourashtradictionary
திமுர்,timur,"கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்","Arrogance, Hauteur",தெனு வேன் திமுர் தெ4ர்யாத்தெனு,tenu vEn timur dheryaattenu,அவர் மிகவும் திமிர் பிடித்தவர்,He is very arrogant,bad-attribute,corpus_sourashtradictionary
கெ3ருவ்,geruv,"கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்","Arrogance, Hauteur",கெ3ருவ் அஸ்கியொ நஸினம் கெர்த்தை,geruv askiyo nasinam kerttai,ஆணவம் எல்லாவற்றையும் அழித்துவிடும்,Arrogance will destroy everything,bad-attribute,corpus_sourashtradictionary
மௌஜொ,maujo,"கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்","Arrogance, Hauteur",த4ன மௌஜாக் மொர்க்3யாத் அப்3பு3னா,dhana maujaak morgyaat abbunaa,பணத் திமிருக்கு மரியாதை கிடைக்காது,There is no respect for money arrogance,bad-attribute,corpus_sourashtradictionary
மௌஜட்3,maujaD,"கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்","Arrogance, Hauteur",த4ன மௌஜடு3 மித்ருப்பனுக் நஸ்தை,dhana maujaDu mitruppanuk nastai,செல்வத்தின் ஆணவம் நட்பைக் கெடுக்கும்,The arrogance of wealth spoils friendships,bad-attribute,corpus_sourashtradictionary
ஹங்க்ருதி,hangkruti,"அகந்தை, அகங்காரம்","Haughtiness, Ego",ஹங்க்ருதி தெ4ரெ பெ4டெ3 கொ2ப்3பி3ம் காம் கெர்னா,hangkruti dhere bheDe khobbim kaam kernaa,அகந்தை கொண்ட வேலைக்காரன் ஒருபோதும் வேலை செய்ய மாட்டான்,The servant with Haughtiness will never work,bad-attribute,corpus_sourashtradictionary
அபுல் ப்ரபா4வ்,apul prabhaav,தற்பெருமை,"Conceit, Vanity, Vainglory, Brag, Self-praise",அபுல் ப்ரபா4வ் மெனரியொ பிஸானுன் க2வ்னம்,apul prabhaav menariyo pisaanun khavnam,தற்பெருமை என்பது முட்டாள்களின் உணவு,Vanity is the food of fools,bad-attribute,corpus_sourashtradictionary
அபுல் நுதி,apul nuti,தற்பெருமை,"Conceit, Vanity, Vainglory, Brag, Self-praise",அபுல் நுதி அமீஸ் மெல்ல ஹோனா,apul nuti amees mella hOnaa,நம் பெருமையை நாமே சொல்லிக் கொள்ளக்கூடாது,We should not talk about our pride ourselves,bad-attribute,corpus_sourashtradictionary
ஸங்கட்,sangkaT,இடையூறு,Disruption,ஹாதுவதி3னி ம்ஹொட்டொ ஸங்கடங்கன் மர்ச்சய்யொ,haatuvadini mhoTTo sangkaTangkan marccayyo,கைபேசி பெரும் இடையூறாக மாறிவிட்டது,Mobile phone has become a distruption,bad-attribute,corpus_sourashtradictionary
உதாஸீனம்,utaaseenam,அலட்சியம்,"Negligence, Indifference",ம்ஹொட்டொ ஸ்தா2பனான் கா2ல் பொட3த்தக் உதாஸீனமூஸ் காரணொ,mhoTTo sthaapanaan khaal poDattak utaaseenamoos kaaraNo,பெரிய நிறுவனங்களின் வீழ்ச்சிக்கு அலட்சியமே காரணம்,Negligence is the reason for the collapse of big companies,bad-attribute,corpus_sourashtradictionary
பராக்,paraak,அக்கறை இல்லாமல்,Not caring,பராக் கெர்னாத்தக் ர்ஹியெத் ஈகு3 நஜ்ஜாயி,paraak kernaattak rhiyet eegu najjaayi,அக்கறை இல்லாமல் இருந்தால் கல்வி கெட்டுவிடும்,Education will be ruined if not cared for,bad-attribute,corpus_sourashtradictionary
ஸந்தே3க்,sandEk,சந்தேகம்,"Doubt, Suspicion",ஸந்தே3க் மெனரியொ ஒண்டெ ரோகு3,sandEk menariyo oNTe rOgu,சந்தேகம் என்பது ஒரு நோய்,Suspicion is a disease,bad-attribute,corpus_sourashtradictionary
ஸெந்தே3வ்,sendEv,சந்தேகம்,"Doubt, Suspicion",ஸெந்தே3வ் பொடெ3த்தெகொ3 நிம்மள் ர்ஹானா,sendEv poDettego nimmaL rhaanaa,சந்தேகப்படுபவனுக்கு நிம்மதி இருக்காது,The suspect will have no peace,bad-attribute,corpus_sourashtradictionary
தெல்பி,telpi,"கேலி, கிண்டல்","Mock, Tease",தெ2வ்டெ3 தெனு ஸதா2 தெல்பிலேத் ர்ஹானு,thevDe tenu sathaa telpilEt rhaanu,சிலர் எப்போதும் கிண்டல் செய்வார்கள்,Some will always tease,bad-attribute,corpus_sourashtradictionary
கெள்சினி,keLcini,"கேலி, கிண்டல்","Mock, Tease",ஒள்டு3னுக் கெள்சினி கெரன் ஹோனா,oLDunuk keLcini keran hOnaa,வயதானவர்களை நாம் கிண்டல் செய்யக்கூடாது,We should not tease the elderly,bad-attribute,corpus_sourashtradictionary
ரூபு கெள்சினி,roopu keLcini,உருவ கேலி,"Mock, Tease, Body shaming",ரூபு கெள்சினி கெரஹோனா,roopu keLcini kerahOnaa,உருவ கேலி செய்யக்கூடாது,Should not do body shaming,bad-attribute,corpus_sourashtradictionary
கா3ள்,gaaL,"திட்டு, வசை, நிந்தனை","Scold, Reprimand, Blasphemy",பா3 கா3ள் அய்கன் ஸெக்குனா,baa gaaL aykan sekkunaa,அப்பாவின் திட்டுகளை கேட்க முடியாது,Can't hear Dad's reprimands,bad-attribute,corpus_sourashtradictionary
போ3ல்கா3ள்,bOlgaaL,"திட்டு, வசை, நிந்தனை","Scold, Reprimand, Blasphemy",ஶாந்திகன் ர்ஹாத்தெங்கொ3 போ3ல்கா3ள் ர்ஹானா,ssaantikan rhaattenggo bOlgaaL rhaanaa,அமைதியாக இருப்பவர்களுக்கு நிந்தனை இருக்காது,Those who are quiet will have no blasphemy,bad-attribute,corpus_sourashtradictionary
ஹீனவாக்,heenavaak,"இழிசொல், நிந்தனை","Slander, Blasphemy",ஹீனவாக் வம்ஶமுக் நஸ்தயி,heenavaak vamssamuk nastayi,நிந்தனை குலத்தை அழித்துவிடும்,Blasphemy will destroy the clan,bad-attribute,corpus_sourashtradictionary
தி4ல்லொஹொயெ,dhillohoye,"இழிவான, வெறுக்கத்தக்க","Despicable, Disgusting, Filthy",தி4ல்லொஹொயெ சால்சலன் ஹால் தெனொ துருங்கா3க் ஜியெஸி,dhillohoye caalcalan haal teno turunggaak jiyesi,இழிவான நடத்தைக்காக அவன் சிறைக்கு சென்றான்,He went to jail for despicable behavior,bad-attribute,corpus_sourashtradictionary
கொ2ப3ட்,khobaT,"வஞ்சகம், ஏமாற்றுதல்","Deceit, Deception, Cheating, Fraud",பில்லல்னு கொ2ப3ட் ந்ஹீத்தெனுன்,pillalnu khobaT nheettenun,குழந்தைகள் வஞ்சகம் இல்லாதவர்கள்,Children are not deceitful,bad-attribute,corpus_sourashtradictionary
கண்டு,kaNTu,"வஞ்சகம், ஏமாற்றுதல்","Deceit, Deception, Cheating, Fraud",கொ2ப்3பி3ம் கண்டிகின் ஜிவத்தக் முஸுனா,khobbim kaNTikin jivattak musunaa,எப்போதும் ஏமாற்றி வாழ முடியாது,You can never live cheating,bad-attribute,corpus_sourashtradictionary
ஒன்ச்லொ,onclo,"வஞ்சகம், ஏமாற்றுதல்","Deceit, Deception, Cheating, Fraud",ஶகுனி ஒன்ச்லாக் நாவ் பொடெ3த்தெனு,ssakuni onclaak naav poDettenu,சகுனி வஞ்சகத்திற்கு பெயர் பெற்றவர்,Shakuni is notorious for deception,bad-attribute,corpus_sourashtradictionary
வஞ்சனொ,vanjcano,"வஞ்சகம், ஏமாற்றுதல்","Deceit, Deception, Cheating, Fraud",அமி கொங்கினாக் வஞ்சனொ கெரன் ஹோனா,ami kongkinaak vanjcano keran hOnaa,நாம் யாரையும் ஏமாற்றக் கூடாது,We should not cheat anyone,bad-attribute,corpus_sourashtradictionary
எச்சட3த்தெ,eccaDatte,"வஞ்சகம், ஏமாற்றுதல்","Deceit, Deception, Cheating, Fraud",எச்சட3த்தெ நியம் அனுஸார் பொரொ ஹோயி,eccaDatte niyam anusaar poro hOyi,ஏமாற்றுவது சட்டப்படி குற்றம்,Cheating is a crime under the law,bad-attribute,corpus_sourashtradictionary
வீர்,veer,"வன்மம், விரோதம், பகைமை","Malice, Hostility",வீர் ஆரோக்3யமுக்கின் பா4க்3கி3க் நஸ்தயி,veer aarOgyamukkin bhaaggik nastayi,விரோதம் உடல் நலத்தையும் செல்வத்தையும் கெடுத்துவிடும்,Hostility can ruin health and wealth,bad-attribute,corpus_sourashtradictionary
நிஷ்டுல்,nishTul,தகராறு,Dispute,த3தொ3 பை4னும் நிஷ்டுல் ஸே,dado bhainum nishTul sE,சகோதரர்களுக்குள் தகராறு உள்ளது,There is a dispute between the brothers,bad-attribute,corpus_sourashtradictionary
தெகு3ரால்,teguraal,"சர்ச்சை, விவாதம், வாக்குவாதம்","Dispute, Argue, Argument",தூ ஏட் தெகு3ரால் கெரத்தக் அவெயொயா?,too ET teguraal kerattak aveyoyaa?,நீ இங்கு வாதம் பண்ண வந்தாயா?,Did you come here to argue?,bad-attribute,corpus_sourashtradictionary
மல்லினி,mallini,வாய்ச் சண்டை,"Fight, Verbal fight","மல்லினிக் ஜா ஹோனா, அவெ மல்லினிக் ஸொடொ3 ஹோனா","mallinik jaa hOnaa, ave mallinik soDo hOnaa","சண்டைக்கு போகக்கூடாது, வந்த சண்டையை விடக்கூடாது","Don't go to fight, don't leave the fight",bad-attribute,corpus_sourashtradictionary
ஶத்ருப்பன்,ssatruppan,"பகைமை, விரோதம்",Enemity,ஶுனாக்கின் மஞ்ஜிரிக் ஶத்ருப்பன் ஸே,ssunaakkin manjjirik ssatruppan sE,நாய்க்கும் பூனைக்கும் பகை உண்டு,Dog and cat have enmity,bad-attribute,corpus_sourashtradictionary
கனஸுல் பு4ஞ்ஜத்தெ,kanasul bhunjjatte,கன்னத்தில் அறைதல்,Slap,பா3ப் ராகு3ம் பெடா3க் கனஸுல் பு4ஞ்யாஸி,baap raagum peDaak kanasul bhunjyaasi,தந்தை கோபத்தில் மகனை அறைந்தார்,The father slapped his son in anger,bad-attribute,corpus_sourashtradictionary
வத்4யொ,vadhyo,கொலை,Murder,வத்4யொ கெரத்தெ பஞ்சமஹா பாவுனும் ஒண்டெ,vadhyo keratte panjcamahaa paavunum oNTe,கொலை செய்வது ஐம்பெரும் பாவங்களில் ஒன்று,Murder is one of the five major sins,bad-attribute,corpus_sourashtradictionary
ஹனிமர்னி,hanimarni,படுகொலை,Assassination,ராஜிவ் கா3ந்தி4க் ஹனிமர்த்தியா,raajiv gaandhik hanimarttiyaa,ராஜீவ் காந்தி படுகொலை செய்யப்பட்டார்,Rajiv Gandhi was assassinated,bad-attribute,corpus_sourashtradictionary
ஆத்மவத்4யொ,aatmavadhyo,தற்கொலை,Suicide,ஆத்மவத்4யொ கெர்லத்தெகா3 ஆத்மொ ஶாந்தி ஹோனா,aatmavadhyo kerlattegaa aatmo ssaanti hOnaa,தற்கொலை செய்து கொள்பவரின் ஆன்மா சாந்தி அடையாது,The soul of the person who commits suicide will not attain peace,bad-attribute,corpus_sourashtradictionary
