example_sentence_sourashtra,example_sentence_english,example_sentence_tamil
கொ3ந்து3ரு ஒண்டெ ஶ்ரேஷ்டு2 ஹொயெ ஜந்துநஸினி ஹோஸு,Cow Urine is an excellent disinfectant,கோமியம் ஒரு சிறந்த கிருமிநாசினி ஆகும்
ஹெம்பினிக் கொ3ரஜ்ஜனொ ஒண்டெ சொக்கட் ஹொகது,Calculus bovis is a good medicine for asthma,ஆஸ்துமாவிற்கு கோரோசனை ஒரு நல்ல மருந்து
சிடி3னுக் தெ4ரத்தக் பிசுலொ உபயோக்3 ஹோஸு,The trap is used to catch the sparrow,சிட்டுக்குருவியைப் பிடிக்க பொறி பயன்படுகிறது
ஹுதி3ன் ப4ந்தெ3 ஔளிம் ஸாப் ஜிவஸு,The snake lives in the termites mound,கரையான் கட்டிய புற்றில் பாம்பு வசிக்கும்
கா4ம்லய தா2முக் ஜந்துநஸினி ஹால் பொஸுனொ,The injured area should be washed with disinfectant,காயம்பட்ட பகுதியை கிருமிநாசினி கொண்டு கழுவ வேண்டும்
நொவ் ப்ரகார்னு ரெத்தனு தெ3ய்டா3ன் ஸே,There are nine types of gemstones,ஒன்பது வகையான ரத்தினக் கற்கள் உள்ளன
ஹிரானுக் காரட் லெக்ஷனும் மொவனு,Diamonds are measured in units of carat,வைரங்களை காரட் அலகுகளில் அளப்பார்கள்
தேகு ஜா2டு3 வஜ்ஜிர் ஸோன் தா4ஷ்டி ஹொயெயொ,Teak wood is as strong as diamond,தேக்கு மரம் வைரத்தைப் போல வலிமையானது
லஸண்யொ மஞ்ஜிரி தொ3ளொ ஸோன் ர்ஹாயி,Chrysoberyl resembles cat's eye,வைடூரியம் பூனையின் கண்ணை ஒத்திருக்கும்
ஜீவுனும் ர்ஹீ அவரியொ ஒண்ட்டே ரெத்தன் மொதி,Pearls are the only gemstone to come from a living creature,உயிரினத்திலிருந்து வரும் ஒரே ரத்தினம் முத்து
பொம்ளாக் முத்3தி3 ஸெரொ செர்ச்சி க4ல்லனு,The coral is worn with the ring,பவளத்தை மோதிரத்தில் கோர்த்து அணிவார்கள்
கோ3மேதொ3 த4னிமா வித்து ஸொகன் ர்ஹாயி,Garnet resembles pomegranate seeds,கோமேதகம் மாதுளை விதைகளை ஒத்திருக்கும்
லேஸர் கிரணுக் உரு கெரத்தக் ல்ஹொவொ ரெத்தன் நுக3ஸு,Ruby is used to create laser beams,லேசர் கதிர்களை உருவாக்க ரூபி பயன்படுத்தப்படுகிறது
நிள்ச்சி ர்ஹாத்தெமாம் ஹிராக் ப2ராது நீல் ரெத்தனுன் ஸே,Sapphires are next to diamonds in durability,நீடித்திருப்பதில் வைரங்களுக்கு அடுத்தபடியாக நீலமணிகள் உள்ளன
பன்னொ ஹிரொ ஸொம்மர் ஹவ்ளொயொ,Emerald is lighter than diamond,மரகதம் வைரத்தை விட இலகுவானது
புஷ்கராஜு பு4லோக் பூராக் கொவ்ரி ஹெட3ஸுன்,Topaz is mined all over the world,புஷ்பராகம் உலகம் முழுவதும் தோண்டி எடுக்கிறார்கள்
"வரொ, பனி வினா கொன்னி ஜீவுன் ஜிவத்தக் முஸுனா",No living being can survive without air and water,"காற்று, தண்ணீர் இல்லாமல் எந்த உயிரினமும் வாழ முடியாது"
திமிங்கி3லம் வேன் ம்ஹொட்டொ தூ3த்தெ3னி ஜந்து,The whale is the largest mammal,திமிங்கிலம் மிகப்பெரிய பாலூட்டி
பெ3ஸ்களி ஒண்டெ பு4ய்ஞ்பனி ஜீவு,The frog is an amphibian animal,தவளை ஒரு நிலநீர் உயிரினம்
ஸரபடணார் ஜீவுன் ஸில்லொ ரெக3துயொ,Reptiles are cold-blooded,ஊர்வன குளிர் இரத்தம் கொண்டவை
ஐஸ்து பொ3லீம் ஹொயெ ம்ருகொ3,The elephant is the strongest animal,யானை வலிமையான விலங்கு
ம்ருகொ3ஸாலாம் அஸ்கி வித4 ம்ருக3ம்னுக் ஸவாய்,You can see all the animals at the zoo,மிருகக்காட்சிசாலையில் அனைத்து விலங்குகளையும் பார்க்கலாம்
ப3ந்தொ3 காய் தா4னு ஜந்து கீ?,What kind of creature is the cockroach?,கரப்பான் பூச்சி என்ன வகையான உயிரினமோ?
கா3ய் கொ2ப்3பி3ம் ஶிஷ்டஜந்து,The cow is always a polite animal,பசு எப்போதும் சாதுவான பிராணி
வாக்3 ஒண்டெ து3ஷ்ட ஜந்து,The tiger is a wicked animal,புலி ஒரு பொல்லாத பிராணி
"மூகு3னும் கா3மு மூகு3, ராணு மூகு3 மெனி தீ3 ம்ஹொட்டொ வகொ3 ஸே",There are two major types of animals: the domestic animal and the wild animal,"விலங்குகளில் வீட்டு விலங்கு, காட்டு விலங்கு என இரண்டு பெரிய வகை உள்ளது"
"கொ4டொ3, பெ4ண்டு3, கொ3ரு அஸ்கி கா3மு மூகு3ன்","Horses, sheep, and cows are domestic animals","குதிரை, ஆடு, மாடு ஆகியவை வீட்டு விலங்குகள்"
"ராண் பெ4ய்ஸ், வாக்3, ஸிம்ஹொ அஸ்கி ராணு மூகு3ன்","Wildebeest, tiger and lion are wild animals","காட்டெருமை, புலி, சிங்கம் ஆகியவை காட்டு விலங்குகள்"
கா3ய் ஒண்டெ ஸாது4 மூகு3,The cow is a polite animal,பசு ஒரு சாதுவான விலங்கு
உடு3த்தொ பாடுர் தீ2ன் கி3தொ ர்ஹாயி,The squirrel has three stripes on its back,அணிலின் முதுகில் மூன்று கோடுகள் இருக்கும்
சிக்3லொ கொ2ப்3பி3ம் ஜா2டு3னும் ஜிவஸு,The squirrel always lives in the tree,அணில் எப்போதும் மரத்தில் வாழும்
ஹுந்தி3ர் ஸதா3 கலம் அபுலுக் ஶுத்3த4ம் கெர்லேத் ர்ஹாஸு,The rat is always cleaning itself,எலி எப்போதும் தன்னை சுத்தப்படுத்திக் கொண்டே இருக்கும்
ஸுனொ கூ4ஸுக் ஸியெத் தெர்மஸு,The dog chases when it sees a bandicoot rat,நாய் பெருச்சாளியைக் கண்டால் விரட்டுகிறது
சுஞ்சு விநாய் வாஹனொ மெனி மெனன்,Shrew is known as vehicle of Ganesha,மூஞ்சூரு விநாயகரின் வாகனம் என்பார்கள்
மஞ்ஜிரிக் தூ3த் ஒப்பாயி,The cat loves milk,பூனைக்கு பால் பிடிக்கும்
பு3ஸ்குல் கின் ஸுனொ ஸதா3 மல்லஸுனு,Male cat and dog are always fighting,கடுவன் பூனையும் நாயும் எப்போதும் சண்டையிடுகின்றன
ஸுனொ ஒண்டெ விஶ்வாஶ்ஹொயெ மூகு3,The dog is a loyal animal,நாய் ஒரு விசுவாசமான விலங்கு
பெ4ண்டு3 பானுக் கா2ஸு,Sheep eats leaves,ஆடுகள் இலைகளை உண்ணும்
ம்ஹெடி3 பெ4ண்டு3 அவ்ங்கொ லோகர் தே3ஸு,Sheep gives us wool,செம்மறியாடு நமக்கு கம்பளி கொடுக்கிறது
ஶெலி பெ4ண்டு3 தூ3த் ஆங்கு3க் புஷ்டி கெரஸு,Goat's milk nourishes the body,வெள்ளாட்டின் பால் உடலுக்கு ஊட்டமளிக்கிறது
கா3ய் தூ3த் போஷணொ தே3ஸு,Cow's milk provides nutrition,பசுவின் பால் ஊட்டச்சத்தை அளிக்கிறது
கோ3 தூ3த் ஆங்கு3க் தா4ஷ்டி தே3ஸு,Cow's milk gives strength to the body,பசுவின் பால் உடலுக்கு வலிமை கொடுக்கிறது
கொ3ரு ஶிங்க3டா3ம் ர்ஹீ கௌதுக வஸ்துனுன் கெரஸுன்,Decorative items are made from bull's horn,மாட்டுக்கொம்பிலிருந்து அலங்கார பொருட்கள் செய்வார்கள்
ர்ருஷபொ4 பாடுர் ம்ஹொட்டொ கக்3டொ3 ர்ஹாயி,The bull has a big hump on its back,காளையின் முதுகில் பெரிய திமில் இருக்கும்
பெ4ய்ஸு தூ3த் ஆங்கு3க் தா4ஷ்டி தே3ஸு,Buffalo milk gives strength to the body,எருமைப்பால் உடலுக்கு வலிமை தரும்
பொதுலொ ஜுன்னத்த காமுக் நுக3ஸு,Buffalo is used for plowing work.,எருமை உழவு வேலைக்கு பயன்படுகிறது
வாகு3னுக் ராண் பெ4ய்ஸ் ப்ரதா4ன்ஹொயெ சொரொ,Bison are the main prey for tigers,புலிகளுக்குக் காட்டெருமைகள் முக்கிய இரை
கா3ய் து3டொ3 தக3த்தக் த3ல்லா கொ3ரு ஹொவ்ட3ஸுன்,Uncastrated bull is bred for breeding cows,பசு கன்று ஈனுவதற்கு பொலிகாளையை வளர்க்கிறார்கள்
ஹல்லொ கொ3ரு கே2துக் ஜுன்னத்தக் நுக3ஸு,The ox is used to plow the field,வயலை உழுவதற்கு எருது பயன்படுகிறது
மாய் க4டி3 ஸெத்3து3 அய்கெதிக்காம் து3டொ3 த4மி அவய்,The calf will come running when it hears its mother's voice,தாயின் குரல் கேட்டதும் கன்று ஓடி வரும்
வாஸரு அபுல் மாய் ஸெந்தொ ஜாரஸி,The calf goes with its mother,கன்று தன் தாயுடன் செல்கிறது
கெ4த3ட் ஒண்ட்டேலெக்கு ஹல்லுனாத்தக் ஹிப்3பி3 ர்ஹாய்,The donkey stands still in one place,கழுதை ஒரே இடத்தில் அசையாமல் நிற்கும்
ஒவன் கெ4த3ட் பா4ர் துக்கத்தக் ஒர்க3ஸு,The mule is used to carry the load,கோவேறு கழுதை பொதி சுமக்க பயன்படும்
கொ4டொ3 ஒண்டெ மஹாப்ரதாப்ஹொயெ ம்ருகொ3,The horse is a majestic animal,குதிரை ஒரு கம்பீரமான விலங்கு
"அஸ்வக்ரது மெனதி, அஸ்வொ தொ2வி கெரரியொ யாகு3",Ashwamedha Yagya is a yagna performed with a horse,அசுவமேத யாகம் என்பது குதிரையை வைத்து செய்யும் யாகம்
கி3தா3கொ4டொ3க் பூஸ் அக்ரொ ர்ஹாயி,The zebra's tail is short,வரிக்குதிரைக்கு வால் குட்டையாக இருக்கும்
நகுலுக் ஸாபு ஸெரொ ஶத்ருப்பன் ஸே,The mongoose has enemity with the snake,கீரிக்கு பாம்புடன் பகை உள்ளது
குந்தெ3லு பில்லா கான் லம்பு3 ர்ஹாயி,The rabbit's ear is long,முயலின் காது நீளமாக இருக்கும்
ஸஸொ சார் ர்ஹீ தெ3ஸ்ஸு ஒர்ஸு லெந்து ஜிவஸு,The rabbit lives for four to ten years,முயல் நான்கு முதல் பத்து ஆண்டுகள் வரை வாழ்கிறது
து3க்கர் பு3த்3ராம் ஜிவத்திஸா ஜந்து,Pig is an animal that lives in the mud,பன்றி சேற்றில் வாழும் விலங்கு
ஷலாக்3 து3க்கர் க2டா ஹால் ஶத்ருனுக் தெர்மயி,Porcupine chases the enemy with thorns,முள்ளம்பன்றி முள்ளால் எதிரியை விரட்டும்
கெலான் கீஸானுக் மிடா2ய் ஸொகன்,Bananas are like candy for monkeys,வாழைப்பழங்கள் குரங்குகளுக்கு மிட்டாய் போன்றவை
ராம ஸேது வானரான் ப4ந்தெ3யொ மெனி மெனன்,The Ram Bridge is said to have been built by monkeys,ராமர் பாலம் குரங்குகள் கட்டியது என்று சொல்வார்கள்
கோதொ ஜா2டு3 ஜா2டு3க் லங்க3ஸு,The monkey jumps from tree to tree,குரங்கு மரத்துக்கு மரம் தாவுகிறது
கோதி போடுக் தெகொ3 பில்லொ கெ4ட்டி தெ4ர்லி ர்ஹாஸு,The cub is holding the monkey's stomach tightly,குரங்கின் வயிற்றை அதன் குட்டி இறுக்கமாக பிடித்துக்கொண்டிருக்கும்
பூஸ் ந்ஹீத்தெ கீஸு ஆப்பிரிக்கா க2ண்ட3மு ர்ஹீ அவெ மூகு3,The ape is an animal from the African continent,வாலில்லாக்குரங்கு ஆப்பிரிக்கா கண்டத்திலிருந்து வந்த விலங்கு
ஏணுனுக் ம்ஹொட்டொ ஶிங்க3டா3ன் ர்ஹாஸு,Reindeers have large horns,கலைமான்களுக்கு பெரிய கொம்புகள் இருக்கும்
ஹரிணு ஶிங்கு3ம் ர்ஹீ அய்து3ன் மெல்லொ கெரஸுன்,They even make weapons out of deer antlers,மான் கொம்பிலிருந்து ஆயுதம் கூட செய்கிறார்கள்
ஹரிணிக் ஶிங்கு3 ஜுண்ணா,The female deer has no horns,பெண் மானுக்கு கொம்பு கிடையாது
கொ2லொ ஒண்டெ தூ4ர்த ஜந்து,The fox is a cunning animal,நரி ஒரு தந்திரமான விலங்கு
உகாக் ப்ராமஹொயெ சொரொ ஸஸொ,The wolf's favorite prey is the rabbit,ஓநாய்க்கு விருப்பமான இரை முயல்
அங்கூ3ஷாக் ப்ரதா4ன் ஹொயெ ஆஹார் ஹுந்தி3ரு,Weasel's main food is rat,மரநாயின் முக்கிய உணவு எலி ஆகும்
நகுலொ கா4ருக் சொரொ ஹோஸு,Weasels are preyed upon hawks,வீசல்கள் பருந்துகளுக்கு இரையாகின்றன
உத்3ரொ ஸாத்தக் நகுல் ஸோன் தெ3க்காஸு,The Otter looks like a Mongoose,நீர்நாய் பார்ப்பதற்கு கீரிப்பிள்ளை போல் இருக்கும்
பனி நகுலான் பனிம் சொராக் தெர்மஸு,Otters chase prey in the water,நீர்நாய்கள் தண்ணீரில் இரையைத் துரத்துகின்றன
பனி ஐஸ்து பனிம் ஜி2ர்க்கிலின் ஜாய் ஜதொ திரன் களானா,Hippos can only move through water but does not know swimming,நீர்யானைகள் தண்ணீரில் நகர்ந்து செல்லுமே தவிர நீந்தத் தெரியாது
ஸிம்ஹொ பா3ர் பௌல் உஞ்சொ உஸுலயி,The lion will jump to a height of twelve feet,சிங்கம் பன்னிரண்டு அடி உயரத்துக்கு குதிக்கும்
ஸிம்ஹு கொ2ப்3பி3ம் ஜெதொகனீஸ் அவயி,The lion always comes in herds,சிங்கம் எப்போதும் கூட்டமாகவே வரும்
பனி ஸிம்ஹொ நௌகாத் ஸோன் பாய்ஞ் ஹால் ல்ஹெகு3கன் திரஸு,The sea lion swims easily with paddle-like legs,கடல் சிங்கம் துடுப்பு போன்ற கால்களால் எளிதாக நீந்தும்
ஜலஉயாக்3ரான் ஸில்ல பனிம் ஜிவத்தக் தெ3ள்கொ கெண்டொ3 ஸே,Sea lions have thick skin to live in cold water,கடல் சிங்கங்கள் குளிர்ந்த நீரில் வாழ தடிமனான தோல் கொண்டவை
"வாகு3 25 பவுல் லம்பொ3 ஜிங்க3யி, 16 பௌல் உஞ்சொ உஸுலயி",Tiger can leap 25 feet and jump upto 16 feet vertically,"புலி 25 அடி தூரம் பாயும், 16 அடி உயரம் எகிறும்"
பு4லோகும் வேன் பி3ஸ்ஸொ த4மரியொ ம்ருகொ3 சித்ருவாகு3,The fastest running animal in the world is the Cheetah,உலகிலேயே மிக வேகமாக ஓடும் விலங்கு சிறுத்தை
பி3ப3ட்யொ ஜா2டு3 ஹொல்லொ ல்ஹெகூ3வர் ஹிங்க3யி,The leopard can climb with ease on a tree,சிறுத்தைப்புலி மரத்தில் எளிதாக ஏறும்
ஹள்டு3னொ வாக்3 அபுல் சொராக் பொ3லம்ஹொயெ சவ்னிஹால் மொரட3ஸு,Jaguar kills its prey with a powerful bite,ஜாகுவார் அதன் இரையை ஒரு சக்திவாய்ந்த கடியால் கொன்றுவிடுகிறது
தொ3ங்க3ரு ஸிம்ஹொ உத்தர அமெரிக்காம் ஜிவரியொ ம்ஹொட்டொ மஞ்ஜிரி,Puma is a large wild cat that lives in the North America,பூமா வட அமெரிக்காவில் வாழும் பெரிய காட்டுப் பூனை
பி3ப3ள்ய வாக்3 ஜு2க்குகன் சமல் ந்ஹீஜியெத் களொகன் ர்ஹாஸு,Panthers are mostly brown or black in color,சிறுத்தைகள் பெரும்பாலும் பழுப்பு அல்லது கருப்பு நிறத்தில் இருக்கும்
களொ வாகு3 கெண்டொ3 களொ பஸுடு ஹால் ஜ2யெ ஸொகன் ர்ஹாயி,The skin of the black panther looks like it was wrapped in black silk cloth,கருஞ்சிறுத்தையின் தோல் கருப்பு பட்டு துணியால் போர்த்தியது போல் இருக்கும்
பெ4ருண்டொ3 அபுல் சொரா ஹட்3கொ மெள்ளி க2யி ஜீர்ணு கெரஸு,The hyena also eats and digests the bones of its prey,கழுதைப்புலி தனது இரையின் எலும்புகளையும் சாப்பிட்டு ஜீரணிக்கின்றது
தா4குரங்கா3க் ஆஸ்திரேலியாம் ஒண்ட்டேஸ் ஸவாய்,The kangaroo can only be found in Australia,கங்காருவை ஆஸ்திரேலியாவில் மட்டுமே காணலாம்
பா4லு மைகு ப்ராமொ பொட3ஸு,Bears do love honey,கரடிகள் தேனை விரும்புகின்றன
களொ ப4ல்லொ உத்தர அமெரிக்காம் ஒண்டேஸ் தெ3க்கிணி பொட3ஸு,Black bears are only found in North America,கருப்பு கரடிகள் வட அமெரிக்காவில் மட்டுமே காணப்படுகின்றன
கெ4ட்டி ஸெத்3து3கு வெல்கெட்டு த4க்கயி,The bear is afraid of loud noises,கரடி உரத்த சத்தங்களுக்கு பயப்படும்
த்4ருவொ ப4ல்லு ஆங்கு3 போ4ர் ஹுஜால் கே2ஸ் ர்ஹாயி,The polar bear has white hair all over its body,பனிக்கரடியின் உடலெங்கும் வெண்மையான முடி இருக்கும்
சீனு ப4ல்லு ஜு2க்குகன் பொ3ங்கு3க் க2யி ஜிவஸூ,The panda bear mostly lives only on bamboo,பாண்டாகரடி பெரும்பாலும் மூங்கிலை மட்டுமே உண்டு வாழும்
கோலா ப4ல்லு தா4குரங்கா3 ஜாதும் செரெ மூகு3,The koala bear belongs to the kangaroo species,கோலா கரடி கங்காரு இனத்தைச் சேர்ந்தது
க3ண்டொ3 ஒண்டெ பானு ப4க்ஷக்,The rhinoceros is a herbivore,காண்டாமிருகம் ஒரு தாவர உண்ணி
க3ண்டா3 மூகு3க் தொ3ளா ஸனி உன்னொ,Rhinoceros have poor vision,காண்டாமிருகங்களுக்கு கண் பார்வை குறைவு
பொ4லி வளுராணும் ஜிவரியொ மூகு3,The camel is a desert animal,ஒட்டகம் பாலைவனத்தில் வாழும் மிருகம்
முயிக் திரன் களானா,The camel does not know swimming,ஒட்டகத்திற்கு நீச்சல் தெரியாது
தே3வ் சுட்டும் லோல்படெ3கின் ஐஸ்து அவயி,The camel and the elephant come in the lord procession,சாமி ஊர்வலத்தில் ஒட்டகமும் யானையும் வரும்
முயிக் காந்தாரு தாரு மெனி மெனன்,A camel called a desert ship,ஒட்டகத்தை பாலைவனக் கப்பல் என்று கூறுவார்கள்
உக்3லி மெனரியொ ராதும் சொரொ வெக்கத்திஸா ந்ஹன்ன மூகு3,Slender loris is a nocturnal predator,தேவாங்கு என்பது இரவில் இரை தேடும் ஒரு சிறு விலங்காகும்.
கொ3தி3 அபுல் பொ3லீம்ஹொயெ கா3லு ஹால் கெ4ட்டி தெ4ர்லஸு,Monitor lizard grips tightly with its strong jaws,உடும்பு அதன் வலுவான தாடைகளால் இறுக்கமாகப் பிடிக்கிறது
அஸ்கி மூகுனும் கு3ட்3வல் தெ4ர்னி வேன் பொ3லம் ஹொயெயொ,Iguana grip is strongest in all animals,அனைத்து விலங்குகளிலும் உடும்பு பிடி வலிமையானது
தோண்டொ3 ஒண்டெ ஹப்3பு3 ப4க்ஷகு,Garden Lizard is an insectivorous,ஓணான் ஒரு பூச்சி உண்ணி
ஸரளுக் தொ3ஸ்கொ ர்ஹீ பூஸ் லெந்து ஒண்டெ முகுட் ஸே,The garden lizard has a ridge from head to tail,ஓணானுக்கு தலை முதல் வால் வரை ஒரு மேடு உள்ளது
ஸரடொ அபுல் வனிக் பரிஸ்தி2திக் தயெ தா4னுக் மர்ச்சயி,The chameleon changes its color depending on the situation,பச்சோந்தி தன் நிறத்தை சூழ்நிலைக்கேற்ப மாற்றும்
ஸம்ஸலி பூஸ் ல்ஹொவ்வொகொ ர்ஹாயி,The skink tail is red,அரணை வால் சிவப்பாக இருக்கும்
பாலொ ஹால் முகுடும் தொ3ஸ்கொகா2ல் கன் சலத்தக் முஸயி,The lizard can walk upside down in the ceiling,பல்லி கூரையில் தலைகீழாக நடக்க முடியும்
ம்ஹளின் பனிம் ஜிவத்திஸானு ஜீவுன்,Fish are aquatic organisms,மீன்கள் நீர்வாழ் உயிரினங்கள்
பனிங்கைலொ பனிம் ஸேத்தெ ப்ராணவாயுக் ஸுவாஸம் கெரின் ஜிவஸு,Fish live by inhaling the oxygen in the water,மீன்கள் தண்ணீரில் உள்ள ஆக்ஸிஜனை சுவாசித்து வாழ்கின்றன
நிளொ திமிங்கி3லமு ஜீபும் 50 ஜனுன் பி3ஸத்தக் முஸயி,The tongue of the blue whale can seat up to 50 people,நீலத் திமிங்கலத்தின் நாக்கில் 50 பேர் அமர முடியும்
ஜு2க்கு கிர்விலுன் பொகடும் சலிகின் திரஸு,Most crabs walk sideways and swim,பெரும்பாலான நண்டுகள் பக்கவாட்டில் நடந்து நீந்துகின்றன
பெ3ஸ்களி தெகா3 லம்பு3 பஸ்கடு பாய்ஞ்ஹால் உஸுலஸு,The frog jumps with its long hind legs,தவளை அதன் நீண்ட பின்னங்கால்களால் குதிக்கிறது
ப4ர்களி ஸாபுக் சொரொ ஹோஸு,The frog preys on the snake,தவளை பாம்புக்கு இரையாகிறது
பெ3ஸ்களிஸிஸு பெ3ஸ்களிகன் மர்ச்சாத்தக் 14 வாருன் லக3யி,Tadpoles take about 14 weeks to transform into tiny frogs,தலைப்பிரட்டை சிறிய தவளைகளாக மாற சுமார் 14 வாரங்கள் ஆகும்
பே4ளின் பாராம் பி4த்தர் ஜிவஸு,Toads live in rocks,தேரைகள் பாறைகளுக்குள் வாழ்கின்றன
கிஷ்ளொ அபுலுக் ரக்ஷுலத்தக் சிப்பாம் பி4த்தர் ஆங்கு3க் உட்சுலஸு,The snail pulls the body into their shell to protect itself,நத்தை தன்னைப் பாதுகாத்துக் கொள்ள உடலைத் தங்கள் ஓட்டுக்குள் இழுக்கிறது
தம்ப3ல்சிப்போ பூ4ய்ஞ்ஹோர் ஜிவஸு,Tortoise lives on land,ஆமை நிலத்தில் வாழும்
கஸ்வொ பனிம் ஜிவஸு,Turtles live in water,கடலாமை தண்ணீரில் வாழும்
கஸ்பொ 150 ஒர்ஸுனு லெந்து ஜிவஸு,Turtles can live up to 150 years.,கடல் ஆமைகள் 150 ஆண்டுகள் வரை வாழும்.
நக்ருனுஹால் ஜீப் ப4ராட் லம்பொ3 கெரன் முஸுனா,Crocodiles cannot stick their tongue out,முதலைகளால் நாக்கை வெளியே நீட்டிக்க முடியாது
தெ2வ்டெ3 ஸாபுனுக் விக்கு ஜுண்ணா,Some snakes have no venom,சில பாம்புகளுக்கு விஷம் கிடையாது
நம்ஸாபு விக்கு ஐஸ்துக் மொரட3த்த தூ3ருக் பொ3லம் ஹொயெயொ,The venom of the cobra is strong enough to kill an elephant,நாகப்பாம்பின் விஷம் யானையைக் கொல்லும் அளவுக்கு வலிமையானது
தொ3ங்க3ரு ஸாப் அபுல் சொராக் நெஸ்கி மொரடி3 கா2ஸு,The boa strangles its prey and eats,மலைப்பாம்பு தன் இரையை நெரித்துக் கொன்று உண்ணும்
கி3ர்பன்னாகு3ன் வீஸ் பௌல் லம்பு3 ர்ஹாஸு,Pythons are about twenty feet long,மலைப்பாம்புகள் இருபது அடி நீளம் கொண்டவை
க3ட்ஸுஸாபுக் விக்கு ஜுண்ணா,The python has no venom,மலைப்பாம்புக்கு விஷம் கிடையாது
பாய்ஞ் ந்ஹீத்தெஹால் ஸாபுன் நெ-ள-நெ-ளாஸு,Snakes crawl because they have no legs,கால்கள் இல்லாததால் பாம்புகள் ஊர்ந்து செல்கின்றன
ஹுடொ3 வித்3தெ3ம் கய்லொகெஸுர் ஹாகு தவாய்,You can plant a vegetable garden on the terrace,மொட்டை மாடியில் காய்கறி தோட்டம் போடலாம்
ஸம்பா4ர் மெனெத் சர்பாஞ்ஜு போ2டுன் ர்ஹனொ,Sambar should have four or five vegetables,சாம்பார் என்றால் நாலைந்து காய்கறிகள் இருக்கவேண்டும்
தி3வளி தெந்து3ஸ் அஸ்கிதெனு நொவ்வொ பொ3ட்டொ பி2ல்லனு,Everyone wears new clothes on Diwali,தீபாவளியன்று அனைவரும் புதிய ஆடைகளை அணிவார்கள்
ஸௌஷ்ணி ப்4யாரும் சொக்கட் லாப் அப்3ப3யி,Make a good profit in the clothing business,ஆடை வியாபாரத்தில் நல்ல லாபம் கிடைக்கும்
பஸுடு3 லுக்டா3ன் மோல் வேனு,Silk dresses are expensive,பட்டு ஆடைகள் விலை அதிகம்
மென்க்யான் ஜு2கு ப்ரகாரு பே2லுன் பி2ல்லஸுன்,People wear different types of clothes,மக்கள் பல்வேறு வகையான துணிகளை அணிவார்கள்
த3மரு நாலும் ர்ஹீ பே2லுன் உத்பத்தி ஹோஸு,Fabrics are made from lotus fiber,தாமரை நாரிலிருந்து துணிகள் தயாரிக்கப்படுகின்றன
சந்தி3 தாகும் கெரெ பே2லுன் ஸொங்கொ3யொ,Fabrics made of cotton fibers are cheap,பருத்தி இழைகளால் செய்யப்பட்ட துணிகள் மலிவானவை
த3மரு நாலும் கெரெ பே2லுன் மோல் வேனு,Fabrics made of lotus fiber are expensive,தாமரை நாரால் செய்யப்பட்ட துணிகள் விலை அதிகம்
கைலா பொ3ட்டான் ஹூநு கலமுக் உத்தமு,Cotton fabrics are best for summer,கோடை காலத்திற்கு பருத்தி துணிகள் சிறந்தது
சந்தி3 தாது2ம் ர்ஹீ ஜு2கு ப்ரகாரு பே2லுன் உத்பத்தி ஹோஸு,Different types of fabrics are made from cotton yarn,பருத்தி நூலில் இருந்து பல்வேறு வகையான துணிகள் தயாரிக்கப்படுகின்றன
வேடுன் சார் ந்ஹீஜியெத் ஆட் ஹாதும் அப்3ப3யி,Dhotis are available in four or eight yards,வேஷ்டிகள் நாலு அல்லது எட்டு முழத்தில் கிடைக்கும்
த3ல்லான் கஷ்டொ பி2ல்லஸுன்,Men wear panchakasam,ஆண்கள் பஞ்சகச்சம் அணிவார்கள்
ஜு2கு3 தெங்கொ3 அங்க3வஸ்த்ரொ தைலத்தெ ரூடி4 ஸே,Many people have a habit of wearing over clothes,பலருக்கு மேல் துணி அணியும் பழக்கம் உள்ளது
பில்லல்னு செல்லட3ம் பி2ல்லனு,The boys wear trousers,சிறுவர்கள் கால்சட்டை அணிவார்கள்
முறி பொ3ட்டானுக் செல்வாக் தக3ஸுன்,Dirty clothes are put in the laundry,அழுக்கு துணிகளை சலவைக்கு போடுகிறார்கள்
சொக்காய் ஹுன்னொ ஸில்லாம் ர்ஹீ கப3ட3ஸு,The shirt protects from heat and cold,சட்டை வெப்பம் மற்றும் குளிரிலிருந்து பாதுகாக்கிறது
ஜுக்கு சொக்காயினும் பாஞ்சு பித்தான் ர்ஹாயி,Most shirts have five buttons,பெரும்பாலான சட்டைகளில் ஐந்து பொத்தான்கள் இருக்கும்
மொஞ்சுகலமு ஶேலு ஜு2க்கு பிர்ஜனம் பொட3ஸு,Sweaters are useful in winter,குளிர்காலத்தில் கம்பளிச் சட்டை மிகவும் பயனுள்ளதாக இருக்கிறது
சென்னை ஸொகன் ஹுன்ன கா3முக் கம்ப3லு சொக்காய் தெ4ரி அவ்னா,The sweater is not suitable for hot places like Chennai,சென்னை போன்ற வெப்பமான இடங்களுக்கு கம்பளிச் சட்டை பொருந்தாது
ஸௌலான் 8 ந்ஹீஜியெத் 9 கெ3ஜும் அவஸு,Sarees come in 6 and 9 yards,புடவைகள் 6 மற்றும் 9 கெஜங்களில் வருகின்றன
நவ்மொ அம்பு3லொ ந்ஹீத்தெனு பில்லரியொ ஸௌலொ,Navmo is a sari worn by widow,நார்மடி என்பது விதவைகள் அணியும் புடவை
